Year,Format,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
2007,Odi,3,61,74,3,20.3,82.4,52,1,0,3,1,47.3
2008,Odi,28,532,733,21,25.3,72.6,70,3,0,44,3,53.9
2009,Odi,7,102,155,4,25.5,65.8,43,0,0,5,1,52.3
2010,Odi,14,504,586,13,38.8,86,114,1,2,34,7,43.9
2011,Odi,16,611,739,11,55.5,82.7,95,6,0,40,9,45.6
2012,Odi,13,168,251,13,12.9,66.9,68,1,0,12,2,56.6
2013,Odi,27,1196,1480,23,52,80.8,209,8,2,119,30,57.8
2014,Odi,12,578,613,11,52.5,94.3,264,3,1,58,22,54.3
2015,Odi,17,815,854,16,50.9,95.4,150,4,3,76,23,51.1
2016,Odi,10,564,592,9,62.7,95.3,171,2,2,46,19,51.2
2017,Odi,21,1293,1300,18,71.8,99.5,208,5,6,116,46,49.5
2018,Odi,19,1030,1029,14,73.6,100.1,162,3,5,104,39,52.4
2019,Odi,27,1490,1657,26,57.3,89.9,159,6,7,146,36,53
2020,Odi,3,171,187,3,57,91.4,119,0,1,16,6,54.5
2021,Odi,3,90,104,3,30,86.5,37,0,0,15,0,56.7
2007,T20I,3,88,61,0,88,144.3,50,1,0,9,4,39.3
2008,T20I,1,8,8,1,8,100,8,0,0,1,0,37.5
2009,T20I,8,145,129,7,20.7,112.4,52,1,0,12,4,41.1
2010,T20I,3,94,69,2,47,136.2,79,1,0,6,6,43.5
2011,T20I,3,80,60,3,26.7,133.3,53,1,0,5,4,30
2012,T20I,9,116,89,5,23.2,130.3,55,1,0,9,2,24.7
2013,T20I,1,8,8,1,8,100,8,0,0,0,1,62.5
2014,T20I,6,200,162,5,40,123.5,62,2,0,19,6,37
2015,T20I,2,128,90,2,64,142.2,106,0,1,14,5,37.8
2016,T20I,18,497,378,17,29.2,131.5,83,4,0,45,19,37.8
2017,T20I,9,279,165,9,31,169.1,118,1,1,30,16,35.8
2018,T20I,18,590,400,16,36.9,147.5,111,3,2,52,31,35
2019,T20I,14,396,286,14,28.3,138.5,85,4,0,33,22,40.2
2020,T20I,4,140,93,3,46.7,150.5,65,2,0,11,7,33.3
2021,T20I,3,91,63,3,30.3,144.4,64,1,0,7,6,46
2013,Test,6,333,530,5,66.6,62.8,177,0,2,38,5,68.7
2014,Test,10,237,532,9,26.3,44.5,72,1,0,26,2,76.9
2015,Test,13,326,670,13,25.1,48.7,79,3,0,25,10,75.1
2016,Test,7,288,449,5,57.6,64.1,82,3,0,26,8,66.4
2017,Test,3,217,311,1,217,69.8,102,2,1,20,3,60.1
2018,Test,8,184,389,7,26.3,47.3,63,1,0,16,4,76.1
2019,Test,6,556,732,6,92.7,76,212,0,3,65,20,68.4
2021,Test,13,538,1014,12,44.8,53.1,161,2,1,66,7,75.2
